Variable,r,p_value,N,Significant
Pensieri generati da altri,-0.416,0.2316,10,False
Parole lette da qualcun altro,-0.782,0.0076,10,True
Pensieri come scritti,-0.64,0.0464,10,True
Pensieri ripetuti o echeggianti,-0.164,0.65,10,False
Perdita di contatto con se stessi,-0.42,0.2275,10,False
Non essere più la stessa persona,-0.522,0.1215,10,False
Vuoto interiore,-0.213,0.5543,10,False
Pensare a se stessi come un'altra persona,-0.87,0.0011,10,True
Disconnessione da sé e dai propri pensieri,0.0,1.0,10,False
Sensazione di non essere l'autore delle proprie azioni,0.134,0.7121,10,False
Dubbio tra dire e pensare,-0.264,0.4619,10,False
Disallineamento tra espressione e vissuto interno,-0.161,0.6572,10,False
Guardarsi da fuori dal corpo,-0.342,0.3336,10,False
Perdita di controllo del corpo,-0.264,0.4619,10,False
